PREGÃO;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL;OBSERVAÇÃO 
06/2019;Contratação de forma emergencial de em presa especializada para demolição e retirada d e entulhos da estrutura de cobertura do barracã o localizado paralelo à avenida Getúlio Vargas no antigo prédio da Mate Real do Campus Curitiba;;R$ 53.409,39;CURITIBA;
08/2019;Contratação de empresa especializada em prestação de serviços de assistência técnica, para manutenção preventiva e corretiva dos elev adores do Campus Curitiba - IFPR.;;R$ 3.250,00;CURITIBA;
10/2019;Aquisição de açúcar, tipo refinado, car acterísticas adicionais branco, 1 qualidade e com validade mínima de 1 ano a contar do recebi mento, para atender as necessidades do Campus C uritiba - IFPR;;R$ 1.215,50;CURITIBA;
14/2019;Placa em aço inox escovado, com gravaçã o em baixo relevo, medindo: 40X60 cm., conform e modelo dizeres do anexo I, II e III;;R$ 1.584,00;CURITIBA;
15/2019;Contratação DE SERVIÇO DE MOVIMENTAÇÃO DE MÁQUINAS - LAB. MECÂNICA;;R$ 7.100,00;CURITIBA;
16/2019;Contratação DE SERVIÇO DE LIGAÇÃO, DESL IGAMENTO E NIVELAMENTO - LAB. MECÂNICA;;R$ 7.704,00;CURITIBA;
17/2019;Seguro Patrimonial COBERTURAS: INCÊND IO, VENDAVAL, DANOS ELÉTRICOS, ROUBOS DE BENS;;R$ 3.099,08;CURITIBA;
18/2019;Contribuição para custeio de iluminação pública do Campus Curitiba do Instituto Federa l do Paraná;;R$ 3.600,00;CURITIBA;
19/2019;Contratação de serviços de fornecimento de energia elétrica para o Campus Curitiba -IF PR, para o exercício de 2020;;R$ 480.000,00;CURITIBA;
20/2019;Contratação de serviços de fornecimento de energia elétrica;;R$ 420.000,00;CURITIBA;
21/2019;Contratação de seguro veicular veiculo Ford Ranger XL Placa ARF-7893;;R$ 1.906,13;CURITIBA;
140/2019;Seguro Patrimonial COBERTURAS: INCÊND IO, VENDAVAL, DANOS ELÉTRICOS, ROUBOS DE BENS - CAMPUS CURITIBA- IFPR.;;R$ 3.099,08;CURITIBA;
01/2020;Contratação - DE SERVIÇO DE DE MANUTENÇÃO EM 02 ELEVADORES - CAMPUS CURITIBA;1;R$ 6.000,00;CURITIBA;
02/2020;Contratação de Empresa especializada em locação e manutenção de sanitário químico;1;R$ 5.520,00;CURITIBA;
03/2020;Aquisição de cartão de identificação para controle de acesso;1;R$ 4.290,00;CURITIBA;
04/2020;Contratação de empresa especializada em serviços de manutenção de catracas eletrônicas para o Campus.;1;R$ 5.940,00;CURITIBA;
07/2020;Contratação de serviço de chaveiro para o Campus Curitiba - IFPR para ano 2020;15;R$ 5.582,70;CURITIBA;
08/2020;Aquisição de carimbos para atender as demandas do Instituto Federal do Paraná;7;R$ 2.305,30;CURITIBA;
09/2020;ÁGUA MINERAL NATURAL, potável e não gasosa, condicionada em garrafão de policarbonato;1;R$ 9.800,00;CURITIBA;
11/2020;Contratação de empresa especializada em serviço de elaboração de documento técnico de inspeção;1;R$ 2.890,00;CURITIBA;
12/2020;Contratação de serviços de 03-(Três) - Certificação digital,Token e Serviço de emissão,;1;R$ 1.170,00;CURITIBA;
13/2020;REGARGA DE BOTIJÃO P13 GLP (DE COZINHA) - botijões P13 fabricados conforme norma NBR 8614 da ABNT;1;R$ 4.140,00;CURITIBA;
20/2020;Aquisição de 158 conjuntos escolares de 1 (uma) mesa e 1 (uma) cadeira, certificado pelo INMETRO;1;R$ 37.500,00;CURITIBA;
21/2020;Aquisição de Fotômetros Medidor de Luz / Flashmate Light Meter ;1;R$ 3.667,56;CURITIBA;
23/2020;Aquisição de gêneros alimentícios orgânicos da Agricultura Familiar e do Empreendedor Familiar Rural..;4;R$ 55.453,00;CURITIBA;
24/2020;Contratação de serviço de impressão de fotos e emolduração de quadros para criação de galeria ;1;R$ 438,00;CURITIBA;
25/2020;Aquisição de tabelas de basquete de padrão oficial para a quadra de esportes;1;R$ 9.250,91;CURITIBA;
26/2020;Totens display personalizados com pedal para álcool em gel ;1;R$ 2.692,49;CURITIBA;
27/2020;Aquisição de materiais de construção para construção das aréas de acesso aos novos laboratórios;5;R$ 3.170,72;CURITIBA;
28/2020;Aquisição de 2 placas de inox para inauguração dos novos laboratórios do Campus Curitiba, ;1;R$ 1.230,00;CURITIBA;
30/2020;Aquisição de 7 placas de sinalização visual para áreas internas do Campus Curitiba.;1;R$ 571,00;CURITIBA;
31/2020;Aquisição de materiais laboratoriais e de proteção para o Eixo de Saúde do IFPR Campus Curitiba;6;R$ 17.046,92;CURITIBA;
33/2020;Contratação de empresa especializada em seguro predial.;1;R$ 3.092,86;CURITIBA;
34/2020;Contratação de licença semestral de Software de Simulação de Estratégia Empresarial ;1;R$ 1.600,00;CURITIBA;
35/2020;Contratação de serviços de fornecimento de energia elétrica para o Campus Curitiba ;1;R$ 360.000,00;CURITIBA;
36/2020;Contratação emergencial de empresa especializada para reforço/escoramento de um dos barracões do IFPR;1;R$ 139.419,32;CURITIBA;
01/2019;Contratação dos serviços de emissão e renovação de certificados digitais para atender as demandas do Campus Foz do Iguaçu.;;R$ 3.510,00;FOZ DO IGUAÇU;
02/2019;Contratação de empresa para prestação do serviço de manutenção do portão eletrônico instalado na portaria Avenida Paraná, com vistas à atender as necessidades do Instituto Federal do Paraná – IFPR.;;R$ 320,00;FOZ DO IGUAÇU;
03/2019;Contratação de empresa especializada no fornecimento de coffee-break para o XII Encontro de Gestão de Pessoas do Instituto Federal do Paraná, a ser realizado nos dias 3 e 4 de abril no campus Foz do Iguaçu.;;R$ 1.600,00;FOZ DO IGUAÇU;
04/2019;Contratação de empresa para renovação da apólice de seguro predial, para atender às necessidades do Instituto Federal do Paraná – IFPR.;;R$ 6.962,82;FOZ DO IGUAÇU;
05/2019;Contratação de empresa especializada no fornecimento de lanches e refeições, para atender aos participantes da fase final da Olimpíada Brasileira de Agropecuária, a ser realizada no Campus Foz do Iguaçu entre os dias 27 e 28 de setembro.;;R$ 15.400,00;FOZ DO IGUAÇU;
06/2019;Contratação de empresa especializada no fornecimento de materiais gráficos diversos para divulgação da Olimpíada Brasileira de Agropecuária, a ser realizada no Campus Foz do Iguaçu entre os dias 27 e 28 de setembro, além de outros produtos desta natureza utilizados na promoção de eventos e atividades educacionais do campus.;;R$ 7.549,00;FOZ DO IGUAÇU;
07/2019;Contratação de empresa especializada no fornecimento de recargas de gás GLP de 13kg e 45kg, para atender às necessidades do Instituto Federal do Paraná – IFPR.;;R$ 8.773,50;FOZ DO IGUAÇU;
08/2019;Contratação de empresa especializada no serviço de locação de caçambas estacionárias, para atender às demandas do Instituto Federal do Paraná – IFPR.;;R$ 1.600,00;FOZ DO IGUAÇU;
09/2019;Contratação de empresa especializada em manutenção de aparelhos de ar condicionado, para atender às necessidades do Instituto Federal do Paraná – IFPR.;;R$ 17.550,00;FOZ DO IGUAÇU;
10/2019;Contratação de empresa especializada em conserto de rede elétrica, para atender às necessidades do Instituto Federal do Paraná – IFPR.;;R$ 2.918,80;FOZ DO IGUAÇU;
01/2020;Contratação de empresa especializada para renovação da apólice de seguro predial do Campus Foz do Iguaçu.;1;R$ 6.807,20;FOZ DO IGUAÇU;
02/2020;Contratação de empresa especializada para realização de recarga de extintores e testes hidrostáticos do Campus Foz do Iguaçu.;5;R$ 2.352,00;FOZ DO IGUAÇU;
03/2020;Contratação de empresa para fornecimento de kits de alimentos aos estudantes do Campus Foz do Iguaçu com recursos oriundos dos Programa Nacional de Alimentação escolar - PNAE, os quais atenderão a necessidade dos discentes e suas famílias que se encontram em situação de vulnerabilidade econômica durante o estado de calamidade pública devido a pandemia do novo coronavírus.;1;R$ 16.892,73;FOZ DO IGUAÇU;
05/2020;Contratação de empresa para aquisição de arame farpado, tábuas de pinus e caixa d'água para o Campus Foz do Iguaçu.;3;R$ 933,03;FOZ DO IGUAÇU;
06/2020;Contratação de empresa especializada para conserto da rede elétrica do Campus Foz do Iguaçu.;1;R$ 525,00;FOZ DO IGUAÇU;
07/2020;Contratação de empresa para fornecimento de carpete para forração e piso emborrachado em PVC, conforme  demanda do Campus Foz do Iguaçu, de acordo com as especificações descritas no Termo de Referência.  ;2;R$ 1.972,16;FOZ DO IGUAÇU;
08/2020;Contratação de empresa especializada para aquisição de totem display personalizado para álcool em gel com pedal para o Campus Foz do Iguaçu, de acordo com as especificações descritas no Termo de Referência.;1;R$ 1.599,96;FOZ DO IGUAÇU;
09/2020;Contratação de empresa para aquisição de tábuas de pinus para o Campus Foz do Iguaçu.;1;R$ 472,50;FOZ DO IGUAÇU;
10/2020;Aquisição de carpete para forração, para atender às necessidades do Campus Foz do Iguaçu, de acordo com as especificações descritas no Termo de Referência.;1;R$ 1.848,00;FOZ DO IGUAÇU;
11/2020;Contratação de empresa especializada no serviço de reparo da rede subterrânea de hidrante de recalque do Bloco de Ensino do Campus Foz do Iguaçu, localizado na Avenida Araucária, 780 – Bairro Itaipu A, nas instalações do Instituto Federal do Paraná, com fornecimento de todos os materiais, mão de obra e demais equipamentos necessários à adequada execução do objeto.;1;R$ 31.251,00;FOZ DO IGUAÇU;
12/2020;Contratação de empresa especializada no serviço de poda e retirada de árvores do Campus Foz do Iguaçu, localizado na Avenida Araucária, 780 – Bairro Itaipu A, nas instalações do Instituto Federal do Paraná, com fornecimento de todos os materiais, mão de obra e demais equipamentos necessários à adequada execução do objeto e conforme especificações técnicas e demais requisitos detalhados no Termo de Referência.;1;R$ 16.060,00;FOZ DO IGUAÇU;
13/2020;Aquisição de kits de gêneros alimentícios advindos da agricultura familiar através de recursos oriundos do Programa Nacional de Alimentação Escolar – PNAE.;1;R$ 24.234,09;FOZ DO IGUAÇU;
14/2020;Aquisição de materiais de consumo de infraestrutura, conforme demanda apresentada pelo Campus Foz do Iguaçu, de acordo com as especificações técnicas descritas no Termo de Referência.;6;R$ 8.034,79;FOZ DO IGUAÇU;
15/2020;Contratação de empresa especializada na elaboração, implantação, acompanhamento e aprovação, junto à Secretaria de Meio Ambiente da Prefeitura Municipal de Foz do Iguaçu, do Plano de Gerenciamento de Resíduos Sólidos - PGRS do Campus Foz do Iguaçu, de acordo com as especificações técnicas e demais requisitos descritos no Termo de Referência.;1;R$ 9.940,00;FOZ DO IGUAÇU;
16/2020;Contratação de médico veterinário, responsável técnico, para atendimento no biotério do Campus Foz do Iguaçu.;1;R$ 14.400,00;FOZ DO IGUAÇU;
18/2020;Contratação de empresa especializada no fornecimento de produtos acabados e insumos necessários ao enfrentamento da emergência de saúde pública de importância internacional decorrente da propagação de COVID-19, enfermidade causada pelo novo coronavírus (Sars-Cov-2), para o retorno das atividades acadêmicas e administrativas presenciais do Campus Foz do Iguaçu, de acordo com as especificações técnicas descritas no Termo de Referência.;12;R$ 9.895,15;FOZ DO IGUAÇU;
19/2020;Contratação de empresa para aquisição e instalação de cancela eletrônica automática para controle de entradas e saídas na portaria do Campus Foz do Iguaçu.;1;R$ 4.190,00;FOZ DO IGUAÇU;
20/2020;Contratação de empresa especializada na produção e fornecimento de materiais gráficos com garantia de qualidade visando à produção por demanda de materiais destinados à promoção, difusão e popularização das campanhas e atividades desenvolvidas pelo Campus Foz do Iguaçu.;7;R$ 2.746,00;FOZ DO IGUAÇU;
22/2020;Contratação de empresa especializada na manutenção dos equipamentos elétricos utilizados no Laboratórios;1;R$ 1.985,00;FOZ DO IGUAÇU;
23/2020;Contratação de empresa especializada no fornecimento e instalação de vidro incolor, liso 3 MM e 6 MM;2;R$ 4.600,00;FOZ DO IGUAÇU;
24/2020;Contratação de empresa para fornecimento de produtos destinados ao enfrentamento da emergência;3;R$ 10.177,50;FOZ DO IGUAÇU;
25/202;Contratação de empresa especializada no treinamento teórico e prático para formação de brigada de incêndio;1;R$ 3.550,00;FOZ DO IGUAÇU;
26/2020;"Contratação de empresa para apoio ao projeto de desenvolvimento institucional intitulado: ""Eficientização das Instalações do Instituto Federal do Paraná - Campus Foz do Iguaçu?""";1;R$ 32.608,86;FOZ DO IGUAÇU;
01/2019;Seguro auto;;R$ 4.520,00;IRATI;
02/2019;Remanescente de serviço para o posto de Oficial de Manutenção Predial;;R$ 32.814,39;IRATI;
03/2019;Seguro predial;;R$ 6.261,81;IRATI;
04/2019;Materiais elétricos para ampliação da rede elétrica do ginásio esportivo;;R$ 1.826,84;IRATI;
05/2019;Transporte eventual (veículo e motorista);;R$ 700,00;IRATI;
06/2019;Certificados digitais;;R$ 1.240,00;IRATI;
07/2019;Serviços de desinsetização, desratização, limpeza de caixas d’água e reservatórios de água para incêndio;;R$ 5.600,00;IRATI;
08/2019;Aquisição e manutenção (recargas e testes) de extintores de incêndio;;R$ 2.255,00;IRATI;
09/2019;Equipamentos para robótica;;R$ 13.527,70;IRATI;
10/2019;Contratação de empresa de sonorização para cerimônia de formatura;;R$ 1.350,00;IRATI;
01/2020;Estimativa de despesa com fornecimento de energia elétrica para o IFPR Campus Irati no exercício de 2020.;1;R$ 95.507,00;IRATI;
02/2020;Contratação de seguro auto para veículo da frota própria do IFPR, VW/Gol City 1.0, em uso pelo Campus Irati;1;R$ 898,33;IRATI;
03/2020;Contratação de seguro empresarial predial para as instalações do IFPR Campus Irati.;1;R$ 5.001,00;IRATI;
04/2020;Contratação de serviço de emissão, renovação e validação de Certificados Digitais do tipo A3, pessoa física (e-CPF), padrão ICP Brasil, com validade de 3 (três) anos;1;R$ 599,70;IRATI;
05/2020;Serviço de adequação elétrica para finalização da instalação dos aparelhos de ar-condicionado, com aplicação de materiais - IFPR Campus Irati - Blocos A e B.;1;R$ 5.300,00;IRATI;
06/2020;Aquisição de kits de alimentos não perecíveis (itens de mercado) destinada ao atendimento do Programa Nacional de Alimentação Escolar (PNAE), no âmbito do IFPR Campus Irati, conforme condições, quantidades e exigências estabelecidas no Termo de Referência dessa contratação.;1;R$ 25.701,48;IRATI;
07/2020;Aquisição de bancos de praça com encosto vazado, fabricados em concreto, modelo K, que serão instalados nas dependências do campus Irati do Instituto Federal do Paraná.;1;R$ 9.750,00;IRATI;
08/2020;Aquisição de totem personalizado para álcool em gel com acionamento por pedal, que serão dispostos nas dependências do campus Irati do Instituto Federal do Paraná.;1;R$ 2.700,00;IRATI;
09/2020;Chamada Pública para aquisição de gêneros alimentícios da Agricultura Familiar ou Empreendimento Familiar Rural, destinada ao atendimento do Programa Nacional de Alimentação Escolar (PNAE), no âmbito do IFPR Campus Irati, conforme condições, quantidades e exigências estabelecidas em Edital e seus anexos.;1;R$ 18.910,08;IRATI;
10/2020;Contratação de empresa especializada para prestação de serviços de desinsetização, desratização, controle de pombos, limpeza e desinfecção de caixas d’água e limpeza de reservatório de água para combate a incêndio, incluindo o fornecimento de produtos químicos e defensivos, utensílios, máquinas e equipamentos, bem como mão de obra qualificada, EPIs e material de consumo adequado, ao IFPR Campus Irati para o ano de 2020.;6;R$ 5.560,00;IRATI;
11/2020;Contratação e manutenção (recarga e teste hidrostático) de extintores de incêndio e teste hidrostático das mangueiras de incêndio do IFPR do Campus Irati.;6;R$ 1.665,00;IRATI;
01/2019;Contratação de PJ para emissão, renovação e validação de certificado digital do tipo A3 com fornecimento de token.;;R$ 1.761,00;IVAIPORÃ;
02/2019;Aquisição de Concreto Betuminoso Usinado a Quente (CBUQ) para pavimentação asfáltica (COM TRANSPORTE) para atendimento à demanda de manutenção do IFPR Campus Ivaiporã.;;R$ 118.860,00;IVAIPORÃ;
03/2019;Dispensa de Licitação para atender estimativa de despesas com energia elétrica do Campus Ivaiporã do Instituto Federal do Paraná para o Exercício de 2020.;;R$ 132.000,00;IVAIPORÃ;
01/2020;Aquisição de recargas de extintores para manutenção das medidas de segurança do IFPR Campus Ivaiporã, conforme especificações e quantitativos estabelecidos no Termo de Referência.;5;R$ 1.398,00;IVAIPORÃ;
02-2020;Contratação direta de seguro predial, com fulcro no Inc. II, Art. 24 da Lei nº 8.666/93, com cobertura contra para incêndio, raio, explosão, vendaval, danos elétricos, subtração de bens, materiais, equipamentos eletrônicos e de laboratório, responsabilidade civil e quebra de vidros, com o objetivo de atender à demanda do IFPR - Campus Ivaiporã.;1;R$ 3.333,92;IVAIPORÃ;
03-2020;Aquisição de dispositivos de operação e armazenamento de chaves criptográficas, Certificados Digitais Token USB.;1;R$ 310,00;IVAIPORÃ;
04/2020;Aquisição de kits de alimentação a serem distribuídos aos alunos do IFPR - Campus Ivaiporã, conforme estudo de viabilidade para execução do Programa Nacional de Alimentação Escolar (PNAE) durante a pandemia do novo coronavírus (Itens não perecíveis).;1;R$ 12.034,98;IVAIPORÃ;
05/2020;Aquisição de kits de gêneros alimentícios da Agricultura Familiar e do Empreendedor Familiar Rural, para atendimento ao Programa Nacional de Alimentação Escolar – PNAE ao Campus Ivaipora.;1;R$ 14.874,46;IVAIPORÃ;
06/2020;Contratação direta de seguro predial com cobertura contra para incêndio, raio, explosão, vendaval, danos elétricos, subtração de bens, materiais, equipamentos eletrônicos e de laboratório, responsabilidade civil e quebra de vidros, com o objetivo de atender à demanda do IFPR - Campus Ivaiporã.;1;R$ 4.919,79;IVAIPORÃ;
